comment_id,video_id,video_title,channel_title,author,comment_text,published_at,like_count,reply_count,service_category,clean_text,tokens_analisis,topic_category,sentiment_label,sentiment_score
UgyKHYLIrDynpywOrhN4AaABAg,qLxWDavp0bg,¿Cómo llamar a CLARO Servicio al cliente? en TODOS los países,Claro RD,@romeliaduque7995,"Si no...son empleados de claro pero quedan gravadas y monitoriadas  para que los accionistas  lo: vean,escuchen  y resuelvan  y así dar garantías de los servicios que tan deficientemente prestan.",2022-11-28T22:09:47Z,3,1,Atención al Cliente y Soporte,si no son empleados de claro pero quedan gravadas y monitoriadas para que los accionistas lo vean escuchen y resuelvan y asi dar garanti as de los servicios que tan deficientemente prestan,empleados quedan gravadas monitoriadas accionistas vean escuchen resuelvan asi dar garanti servicios tan deficientemente prestan,Atención al Cliente y Soporte,POSITIVO,0.75
UgzUlDeZVPIKG0BIwjx4AaABAg,32ad78KOfW4,CÓMO LLAMAR A SERVICIOS DE CLARO,Claro RD,@renedaza7606,"No he podido encontrar el número para a claro x su mal servicio 
.ponen unos número que ni con lupa 🔎 se ven",2022-11-24T19:08:59Z,2,0,Atención al Cliente y Soporte,no he podido encontrar el nu mero para a claro x su mal servicio ponen unos nu mero que ni con lupa se ven,podido encontrar mero mal servicio ponen mero lupa ven,Atención al Cliente y Soporte,NEUTRO,0.6
UgxuvWBsh4x5zyTiCVx4AaABAg,qLxWDavp0bg,¿Cómo llamar a CLARO Servicio al cliente? en TODOS los países,Claro RD,@olgagriffa2536,A que número puedo llamar de Córdoba Argentina,2022-11-22T00:41:50Z,1,1,Atención al Cliente y Soporte,a que nu mero puedo llamar de co rdoba argentina,mero puedo llamar rdoba argentina,Experiencia General de Marca,NEUTRO,0.6
UgxupDFuHyX-_A7ndrN4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@DanmerJet,Saludos  con esa app puedo recuperar mi número robado disculpe,2022-11-15T01:41:25Z,0,0,Facturación y Tarifas,saludos con esa app puedo recuperar mi nu mero robado disculpe,saludos app puedo recuperar mero robado disculpe,Experiencia General de Marca,NEUTRO,0.6
UgxgQwJljQgKzYw21E14AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@juangonzales7154,Amigo me piden que me llaman no me aparece la pagina tuya,2022-11-15T00:54:34Z,0,0,Facturación y Tarifas,amigo me piden que me llaman no me aparece la pagina tuya,amigo piden llaman aparece pagina,Experiencia General de Marca,NEUTRO,0.6
Ugwdcq39LEvYu4Iv4i14AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@yarielgonzalez3747,Usuario existente,2022-11-05T19:33:14Z,0,0,Facturación y Tarifas,usuario existente,usuario existente,Experiencia General de Marca,NEUTRO,0.6
UgzPlZZ23UxZIbbTqg94AaABAg,qLxWDavp0bg,¿Cómo llamar a CLARO Servicio al cliente? en TODOS los países,Claro RD,@Boxeo_profesiona,Yo quiero serbisio al cliente para un codigo,2022-10-30T23:58:34Z,1,1,Atención al Cliente y Soporte,yo quiero serbisio al cliente para un codigo,quiero serbisio cliente codigo,Experiencia General de Marca,NEUTRO,0.6
Ugw01y9oFTUdq31hbAJ4AaABAg,vOG5AbNRYvs,🔥Probando 5G en República Dominicana -  Buscaba 1GB pero encontré otra cosa!!!,Claro RD,@Sesinado,"Aunque parezca falso, el 5G de allá es mejor que el de USA, solamente que comiencen a incorporar frecuencias bajas(600-700mhz) a la red para que ayude a la Mid-Band(3.5ghz) a llegar más lejos.",2022-10-30T00:33:23Z,1,0,Red Móvil y Cobertura 5G,aunque parezca falso el g de alla es mejor que el de usa solamente que comiencen a incorporar frecuencias bajas mhz a la red para que ayude a la mid band ghz a llegar ma s lejos,aunque parezca falso alla mejor usa solamente comiencen incorporar frecuencias bajas mhz red ayude mid band ghz llegar lejos,Red Móvil y Cobertura 5G,POSITIVO,0.75
UgwLFRVtJkyL6JIHAk94AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@johanmanuelhenriquezbrgs5616,Cuando pongo mi correo y mi usuario me dice “Login invalido”. 🥲,2022-10-18T20:28:38Z,0,0,Facturación y Tarifas,cuando pongo mi correo y mi usuario me dice login invalido,pongo correo usuario dice login invalido,Experiencia General de Marca,NEUTRO,0.6
UgwYG4UYx9l75nYsf3F4AaABAg,vOG5AbNRYvs,🔥Probando 5G en República Dominicana -  Buscaba 1GB pero encontré otra cosa!!!,Claro RD,@fredmergameplaysd4525,"Hola Dios te bendiga 

Sinceramente no creo en el ""5G"" :/ la verdad es que no creo en ese supuesto 5G además de que si se implementaría en los teléfonos el teléfonos se forzará más, por ejemplo, yo tengo un teléfono con 4G (el que estoy usando tiene 3G) y la verdad es que la experiencia que tengo con el 4G es decepcionante :/, en primer lugar porque el teléfono se calienta, la duración de la batería es pues......que puedo decir y esto lo digo porque cuando uso WiFi la batería dura más ._. mientras que cuando uso datos la batería se acaba rápido, 

Quiero aclarar que la batería que tiene es de 3000 mAh


Aunque admito que depende del teléfono 

El otro cel que tengo es un LG",2022-10-17T18:24:25Z,0,1,Fibra Óptica e Internet Hogar,hola dios te bendiga sinceramente no creo en el g la verdad es que no creo en ese supuesto g adema s de que si se implementari a en los tele fonos el tele fonos se forzara ma s por ejemplo yo tengo un tele fono con g el que estoy usando tiene g y la verdad es que la experiencia que tengo con el g es decepcionante en primer lugar porque el tele fono se calienta la duracio n de la bateri a es pues que puedo decir y esto lo digo porque cuando uso wifi la bateri a dura ma s mientras que cuando uso datos la bateri a se acaba ra pido quiero aclarar que la bateri a que tiene es de mah aunque admito que depende del tele fono el otro cel que tengo es un lg,dios bendiga sinceramente creo verdad creo supuesto adema implementari tele fonos tele fonos forzara ejemplo tele fono usando verdad experiencia decepcionante primer lugar tele fono calienta duracio bateri pues puedo decir digo uso wifi bateri dura mientras uso datos bateri acaba pido quiero aclarar bateri mah aunque admito depende tele fono cel,Fibra Óptica e Internet Hogar,NEUTRO,0.6
